UNIV_FISCAL_YR,UNIV_FISCAL_PRD_CD,OBJ_ID,VER_NBR,UNIV_FISCAL_PRD_NM,ROW_ACTV_IND,BDGT_ROLLOVER_CD,UNIV_FSCPD_END_DT
2015,01,237044a9-4d49-4e73-810d-c4546d38e668,1,"JULY 2014",Y,N,"2014-07-31 00:00:00"
2015,02,62fefe39-d041-48f3-82a9-4df76686f625,1,"AUG 2014",Y,N,"2014-08-31 00:00:00"
2015,03,b960e05d-5252-49c4-9117-b707d15eea39,1,"SEPT 2014",Y,N,"2014-09-30 00:00:00"
2015,04,eeb72753-078e-408c-afbf-448966cc5787,1,"OCT 2014",Y,N,"2014-10-31 00:00:00"
2015,05,12657795-e196-4543-97a5-e0bf40ba7890,1,"NOV 2014",Y,N,"2014-11-30 00:00:00"
2015,06,92b665a0-9386-4ab0-ba64-f39553c13ccc,1,"DEC 2014",Y,N,"2014-12-31 00:00:00"
2015,07,2fc2ff50-bc49-4ce2-b449-68bcf5320d74,1,"JAN 2015",Y,N,"2015-01-31 00:00:00"
2015,08,6f255862-185d-470c-8b3d-7ecafe1297a7,1,"FEB 2015",Y,N,"2015-02-28 00:00:00"
2015,09,0418fbfd-2a98-46b7-b5f9-99af8e5abc24,1,"MAR 2015",Y,N,"2015-03-31 00:00:00"
2015,10,f7991400-b583-4384-bb6e-44399bd0d333,1,"APR 2015",Y,N,"2015-04-30 00:00:00"
2015,11,607d2a32-5dd9-42ab-8c45-dd5ec2ec660e,1,"MAY 2015",Y,N,"2015-05-31 00:00:00"
2015,12,34be0591-cbf6-4da9-a77e-4c2b06ddd78a,1,"JUN 2015",Y,N,"2015-06-30 00:00:00"
