ROLE_MBR_ID;VER_NBR;OBJ_ID;ROLE_ID;MBR_ID;MBR_TYP_CD;ACTV_FRM_DT;ACTV_TO_DT;LAST_UPDT_DT
1282;1;5B4B421E43857717E0404F8189D821F7;90;1;P;NULL;NULL;"2009-08-21 03:52:51"
1283;1;D0B057F8E7B949EFA94AE8CDA47DE41B;63;admin;P;NULL;NULL;"2008-12-08 12:49:41"
1284;1;B7DBFABEFD2E8CBFE0402E0AA9D757C9;98;admin;P;NULL;NULL;"2012-01-31 16:04:04"
OLE100431;1;OLE100431;OLE10000;olequickstart;P;NULL;NULL;NULL
OLE100441;1;OLE100441;OLE10001;olequickstart;P;NULL;NULL;NULL
OLE100451;1;OLE100451;OLE10002;olequickstart;P;NULL;NULL;NULL
OLE100461;1;OLE100461;OLE10003;olequickstart;P;NULL;NULL;NULL
OLE100471;1;OLE100471;OLE10004;olequickstart;P;NULL;NULL;NULL
OLE100481;1;OLE100481;OLE10005;olequickstart;P;NULL;NULL;NULL
OLE100491;1;OLE100491;OLE10006;olequickstart;P;NULL;NULL;NULL
OLE100501;1;OLE100501;OLE10012;olequickstart;P;NULL;NULL;NULL
OLE100511;1;OLE100511;OLE10013;olequickstart;P;NULL;NULL;NULL
OLE100521;1;OLE100521;OLE10014;olequickstart;P;NULL;NULL;NULL
OLE100531;1;OLE100531;OLE10016;olequickstart;P;NULL;NULL;NULL
OLE100541;1;OLE100541;OLE10017;olequickstart;P;NULL;NULL;NULL
OLE100551;1;OLE100551;OLE10018;olequickstart;P;NULL;NULL;NULL
OLE100951;1;OLE100951;OLE10020;olequickstart;P;NULL;NULL;NULL
OLE100961;1;OLE100961;OLE10021;olequickstart;P;NULL;NULL;NULL
OLE100971;1;OLE100971;OLE10019;olequickstart;P;NULL;NULL;NULL
OLE100981;1;OLE100981;OLE26;olequickstart;P;NULL;NULL;NULL
OLE100991;1;OLE100991;OLE56;olequickstart;P;NULL;NULL;NULL
OLE101001;1;OLE101001;OLE25;olequickstart;P;NULL;NULL;NULL
OLE101041;1;OLE101041;OLE10029;olequickstart;P;NULL;NULL;NULL
OLE101071;1;OLE101071;OLE10032;olequickstart;P;NULL;NULL;NULL
OLE101091;1;OLE101091;OLE10033;olequickstart;P;NULL;NULL;NULL
OLE101141;1;OLE101141;OLE10044;olequickstart;P;NULL;NULL;NULL
OLE101161;1;OLE101161;OLE10045;olequickstart;P;NULL;NULL;NULL
OLE101181;1;OLE101181;OLE10027;olequickstart;P;NULL;NULL;NULL
OLE101191;1;OLE101191;OLE10028;olequickstart;P;NULL;NULL;NULL
OLE101201;1;OLE101201;OLE10030;olequickstart;P;NULL;NULL;NULL
OLE101211;1;OLE101211;OLE10034;olequickstart;P;NULL;NULL;NULL
OLE101221;1;OLE101221;OLE10042;olequickstart;P;NULL;NULL;NULL
OLE101231;1;OLE101231;OLE10043;olequickstart;P;NULL;NULL;NULL
OLE101241;1;OLE101241;OLE10026;olequickstart;P;NULL;NULL;NULL
OLE101251;1;OLE101251;OLE10031;olequickstart;P;NULL;NULL;NULL
OLE101261;1;OLE101261;OLE10035;olequickstart;P;NULL;NULL;NULL
OLE101271;1;OLE101271;OLE10036;olequickstart;P;NULL;NULL;NULL
