ROLE_MBR_ID,VER_NBR,OBJ_ID,ROLE_ID,MBR_ID,MBR_TYP_CD,ACTV_FRM_DT,ACTV_TO_DT,LAST_UPDT_DT
10003,1,4b263722-cce1-4b0f-b981-f9f4dfe221d0,OLE10062,olequickstart,P,NULL,NULL,NULL
10004,1,5d3bc777-6d88-41ba-86cf-e55ea9c816d2,OLE10049,olequickstart,P,NULL,NULL,NULL
10005,1,aa263047-5d3d-4c5c-a48c-1a1fabb7511d,OLE10050,olequickstart,P,NULL,NULL,NULL
10006,1,8c0d3196-64c7-4ce4-bfe4-04336011cb07,OLE10046,olequickstart,P,NULL,NULL,NULL
10007,1,74012c1c-8369-4da2-9045-03890536c628,OLE10058,olequickstart,P,NULL,NULL,NULL
10008,1,ef3889fd-0f61-447d-a167-fb3a01627b76,OLE10057,olequickstart,P,NULL,NULL,NULL
1282,1,5B4B421E43857717E0404F8189D821F7,90,1,P,NULL,NULL,"2009-08-21 03:52:51"
1283,1,D0B057F8E7B949EFA94AE8CDA47DE41B,63,admin,P,NULL,NULL,"2008-12-08 12:49:41"
1284,1,B7DBFABEFD2E8CBFE0402E0AA9D757C9,98,admin,P,NULL,NULL,"2012-01-31 16:04:04"
OLE100431,2,edac87cc-92a3-4a3b-bf4c-9f024ab38379,OLE10000,olequickstart,P,NULL,NULL,NULL
OLE100441,2,faa75857-559b-4297-95ab-1a27b871b84d,OLE10001,olequickstart,P,NULL,NULL,NULL
OLE100451,2,7b5301e2-1a36-4a69-abf4-d81062168e35,OLE10002,olequickstart,P,NULL,NULL,NULL
OLE100461,2,94b4419c-ea6c-40fa-af1c-4841d2449bef,OLE10003,olequickstart,P,NULL,NULL,NULL
OLE100471,2,08786cf2-0a7b-4fcb-a843-6d873b8e13eb,OLE10004,olequickstart,P,NULL,NULL,NULL
OLE100481,2,33c3debc-3b32-42c1-a797-ca71fbd03fee,OLE10005,olequickstart,P,NULL,NULL,NULL
OLE100491,2,a7d93676-7ea6-4efa-b84c-8e4022ca8a0d,OLE10006,olequickstart,P,NULL,NULL,NULL
OLE100501,2,ac1e568d-102d-483a-9022-142c83e5c078,OLE10012,olequickstart,P,NULL,NULL,NULL
OLE100511,2,45e47964-974f-43c4-ad75-6301141a3ade,OLE10013,olequickstart,P,NULL,NULL,NULL
OLE100521,2,9f1bb35a-cb4c-453c-8c7a-0a626272dca9,OLE10014,olequickstart,P,NULL,NULL,NULL
OLE100531,2,c07f375c-6cb7-4c61-9be3-d54ec6a7d135,OLE10016,olequickstart,P,NULL,NULL,NULL
OLE100541,2,29f74f8a-50ed-40f4-842f-b5619f23a68b,OLE10017,olequickstart,P,NULL,NULL,NULL
OLE100551,2,060bb5fa-87e6-4db6-8a9a-48e1845c5201,OLE10018,olequickstart,P,NULL,NULL,NULL
OLE100951,2,26de445f-74b5-41b4-9ac6-a53348417ee4,OLE10020,olequickstart,P,NULL,NULL,NULL
OLE100961,2,ba8495ca-9a9f-44cd-b50b-0a6ef54ad8c7,OLE10021,olequickstart,P,NULL,NULL,NULL
